Number,Name,Gender,Birth,Breed,ZipCode,IssuedDate,ExpiredDate
308104,BELLA,F,2013,Boxer,10024,12/22/2018,12/22/2023
257109,BOO,F,2011,Puggle,11379,2/12/2018,3/9/2019
53526,VULCAN,M,2006,Unknown,10467,5/6/2016,5/30/2017
296121,CALLIE,F,2010,"Poodle, Standard",10024,10/1/2018,1/22/2020
130265,CHARLIE,M,2016,Beagle,10038,10/11/2016,10/11/2017
234087,LUFFY,M,2009,Unknown,10314,7/29/2017,7/7/2020
275695,SAMMY,F,2017,Yorkshire Terrier,11223,5/25/2018,5/25/2019
253889,JASPER,M,2011,Chihuahua,11961,1/24/2018,7/2/2018
67468,LACEY,F,2009,American Pit Bull Mix / Pit Bull Mix,10314,7/11/2016,7/11/2017
113141,NINIS,M,2007,Unknown,11365,4/13/2016,4/29/2018
162901,NAME,M,2017,West High White Terrier,10025,5/29/2017,5/29/2018
168523,KOAH,M,2017,American Pit Bull Mix / Pit Bull Mix,11230,6/25/2017,6/25/2018
9954,TES,F,2011,Jack Russell Terrier,10011,4/23/2015,5/8/2016
236196,CHARLIE,M,2011,Maltese,11221,8/14/2017,8/14/2018
42259,GODIVA,F,2008,Whippet,11354,3/10/2016,4/9/2017
270990,SAMMY,M,2006,Maltese,11374,4/29/2018,4/29/2021
156240,ACE,M,2015,German Shepherd Dog,10309,4/25/2017,6/14/2018
41663,DEUCE,M,2012,"Bull Dog, French",11385,3/7/2016,4/1/2017
239935,BUSTER,M,2013,Yorkshire Terrier,11101,9/17/2017,9/17/2018
118309,NIEVE,F,2013,American Pit Bull Mix / Pit Bull Mix,11105,6/10/2016,6/10/2017
267601,POTATO,M,2016,Shih Tzu Crossbreed,10036,4/9/2018,3/11/2020
225837,NAME NOT PROVIDED,M,2017,Shih Tzu,10461,5/9/2017,5/9/2018
276500,JENNIFER,F,2016,Unknown,11215,5/31/2018,5/31/2019
93805,PRINCESS,F,2007,Shih Tzu,11373,11/18/2016,12/8/2017
304118,ROCCO,M,2006,Chihuahua,10001,11/25/2018,11/25/2019
181396,TEDDY,M,2006,Lhasa Apso,10305,8/21/2017,8/21/2018
69038,BABY,M,2016,Chihuahua,11228,7/15/2016,7/15/2017
222515,LIBBY,F,2009,Dachshund Smooth Coat,10306,4/3/2017,2/17/2018
28734,BERRY,F,2014,Silky Terrier,10280,12/3/2015,12/3/2020
223800,DILLINGER,M,2012,Doberman Pinscher,10002,4/18/2017,4/18/2020
104495,BRANDY,F,2005,Brussels Griffon,10310,11/12/2015,11/29/2018
52957,CIRCUIT,M,2007,Pomeranian,10009,5/3/2016,5/3/2017
110870,LUCKY,M,2010,Chihuahua,10024,3/18/2016,5/11/2021
182143,JAX,M,2015,Miniature Pinscher,11234,8/24/2017,9/15/2017
48176,SCOOBY,M,2013,Shih Tzu Crossbreed,10467,4/10/2016,4/10/2017
63592,BURNING,M,2016,German Shepherd Dog,11375,6/21/2016,6/21/2017
165462,PICKLES,F,2012,Yorkshire Terrier,11367,6/10/2017,6/10/2018
206187,CHARLIE,M,2016,Yorkshire Terrier Crossbreed,11228,12/29/2017,1/13/2019
185862,STITCH,M,2015,American Pit Bull Mix / Pit Bull Mix,10026,9/10/2017,9/18/2018
139810,GREG,F,2014,Border Collie,11377,1/16/2017,1/16/2018
40795,BUDDY,M,2015,Maltese,11201,3/1/2016,3/1/2018
208068,MEATBALL,M,2012,"Bull Dog, English",10022,6/24/2015,7/23/2020
197111,GITANA,F,2012,Shih Tzu Crossbreed,10003,11/1/2017,11/1/2018
298503,ROCKET,F,2009,Boston Terrier,11215,10/16/2018,7/22/2023
69033,WINTER,M,2014,American Staffordshire Terrier,10310,7/15/2016,7/15/2017
162637,DIEGO,M,2012,Brussels Griffon,11222,5/27/2017,5/27/2018
26738,MAX,M,2008,Jack Russell Terrier,10033,11/7/2015,10/19/2016
18255,LUCY,F,2006,Rottweiler,11211,7/25/2015,1/22/2016
303195,DISCO,F,2014,Australian Shepherd,11249,11/15/2018,1/7/2020
84293,HOUDINI,M,2010,Jack Russell Terrier,10025,9/27/2016,9/27/2021
97260,HAWK,M,2016,French Bulldog,10023,12/12/2016,12/12/2017
275928,ROSIE,F,2011,Unknown,10025,5/26/2018,2/25/2024
162315,HARLEY,F,2014,Havanese,10308,5/25/2017,12/28/2021
184656,CHARLIE,M,2008,German Shepherd Dog,10314,9/6/2017,9/18/2018
255339,HERCULES,M,2017,Yorkshire Terrier,11203,2/3/2018,2/3/2019
227374,BELLE,F,2015,Pug Crossbreed,11217,5/24/2017,5/24/2022
30296,LUCIE,F,2010,American Pit Bull Mix / Pit Bull Mix,11208,12/19/2015,12/19/2016
268614,MILLIE,F,2008,Puggle,11374,4/15/2018,10/14/2018
248559,SUNNY,M,2017,Catahoula Leopard Dog,11377,12/14/2017,12/14/2018
91116,NONE,M,2016,Shiba Inu,11201,11/3/2016,11/3/2017
61924,TUFFY,M,2005,Yorkshire Terrier,10469,6/14/2016,7/29/2017
92114,ICE,M,2009,Unknown,10301,11/9/2016,12/14/2017
239636,BIANCA,F,2017,Labrador Retriever,10023,9/14/2017,9/14/2018
244192,ROSSO,M,2012,Dachshund,10019,10/30/2017,10/30/2018
12173,CASSIE,F,2009,Unknown,11214,5/15/2015,5/21/2019
290857,ISABELLA,F,2008,Golden Retriever,11417,8/27/2018,9/3/2019
284536,BARNEY,M,2009,Unknown,11221,7/19/2018,9/8/2019
187338,BEEJOVE,M,2006,Bichon Frise,10314,9/14/2017,8/30/2018
111080,PUPPY,F,2015,Poodle,10017,3/22/2016,3/22/2017
88096,DIVA,F,2006,Yorkshire Terrier,10461,10/18/2016,10/30/2017
107020,UNKNOWN,F,2015,Italian Greyhound,11206,1/30/2016,1/30/2017
73461,CASTIEL,M,2013,Bull Terrier,10016,8/5/2016,7/17/2017
213134,JACKSON,M,2010,German Shepherd Crossbreed,11234,8/24/2016,9/25/2019
303692,KRYPTO,M,2014,Doberman Pinscher,10309,11/20/2018,12/22/2019
169018,BARLEY,M,2014,Terrier mix,10128,6/27/2017,6/27/2018
70746,UNKNOWN,M,2013,American Pit Bull Mix / Pit Bull Mix,11377,7/23/2016,7/23/2017
114255,ROSIE,F,2006,Yorkshire Terrier,10028,4/25/2016,3/29/2019
17055,ZOEY,F,2008,Rottweiler,11211,7/10/2015,7/10/2016
27536,COOKIE,F,2006,Yorkshire Terrier,11428,11/17/2015,11/17/2016
125245,OLLIE,M,2010,Jack Russell Terrier,11218,8/18/2016,8/1/2017
108978,LULU,F,2009,"Shar-Pei, Chinese",11361,2/24/2016,4/16/2018
71939,SOPHIE,F,2013,Pomeranian,11385,7/29/2016,7/29/2017
52394,ANGUS,M,2009,Unknown,11226,4/30/2016,9/23/2018
135591,BLACK,M,2008,Unknown,11385,12/8/2016,1/1/2018
305525,TREVOR,M,2016,Chihuahua Crossbreed,10040,12/3/2018,12/3/2021
103160,BABY,F,2010,Shih Tzu,10035,7/29/2015,8/4/2020
194991,BEAR,M,2016,"Bull Dog, English",11220,10/21/2017,10/21/2018
17864,PITCH,M,2015,Australian Shepherd,11209,7/21/2015,7/21/2016
253903,TUKA,M,2013,Shiba Inu Crossbreed,11231,1/25/2018,1/25/2019
10575,PHYLLIS,F,2013,Toy Fox Terrier,10011,4/29/2015,4/27/2017
164720,JESSIE,F,2005,Unknown,11249,6/6/2017,7/28/2019
178007,LYANNA,F,2017,Labrador Retriever Crossbreed,10038,8/5/2017,8/5/2018
231097,BARRY,M,2015,Shih Tzu Crossbreed,10453,7/1/2017,7/1/2018
243214,FELDICSKO,M,2017,Yorkshire Terrier,10033,10/20/2017,10/20/2018
201723,BAILEY,M,2011,West High White Terrier,10030,11/30/2017,1/11/2019
209987,RALFIE,M,2011,"Welsh Corgi, Pembroke",11414,3/3/2016,9/11/2020
181987,MARLA,F,2013,"Bull Dog, American",10017,8/23/2017,8/23/2018
61863,SYDNEY,M,2007,Cairn Terrier,10010,6/14/2016,7/11/2017
77676,HARPER,F,2009,"Pointer, German Shorthaired",10014,8/25/2016,8/25/2018
152974,GEORGIE,M,2011,Yorkshire Terrier,10452,4/4/2017,4/4/2018
253673,BAILEY,F,2010,Golden Retriever,10065,1/23/2018,2/28/2019
192122,UNKNOWN,M,2015,Jindo,11375,10/6/2017,10/6/2018
246867,ABBY,F,2012,Unknown,11358,11/29/2017,1/15/2019
227818,LADY,F,2017,French Bulldog,10014,5/30/2017,5/30/2018
126072,DIVYA,F,2015,German Shepherd Dog,10312,8/27/2016,8/27/2017
180905,SCOOBY,M,2016,Cavalier King Charles Spaniel,10016,8/18/2017,8/18/2018
306752,TUCO,M,2005,Unknown,10462,12/12/2018,12/30/2019
19946,MORGAN,M,2010,Unknown,10305,8/12/2015,8/24/2016
205127,TOBY,M,2016,Siberian Husky Crossbreed,11365,12/21/2017,1/10/2019
275348,SPIRIT,M,2007,Boston Terrier,11361,5/23/2018,4/16/2020
212103,STEVIE,F,2008,Unknown,10276,7/17/2016,7/10/2021
20094,ISABELLA,F,2005,Rottweiler,11365,8/13/2015,7/30/2016
214726,LIBBY,F,2010,Havanese,10011,11/22/2016,11/22/2021
157047,GRETA,F,2010,Shih Tzu,10025,4/29/2017,4/29/2018
283919,BENJI,M,2016,Maltese,10465,7/16/2018,8/9/2019
1396,BOBBY,M,2010,Chihuahua,11220,1/2/2015,1/11/2016
156165,SASHA,F,2017,Yorkshire Terrier,10462,4/25/2017,4/25/2018
52589,APOLLO,M,2009,"Dachshund, Long Haired",11234,5/1/2016,6/21/2017
256858,LOKI,M,2015,German Shepherd Dog,10462,2/11/2018,2/1/2019
60510,TIGGER,M,2009,Chihuahua Crossbreed,10128,6/8/2016,6/8/2017
181498,KEYCHE,F,2014,American Staffordshire Terrier,11236,8/21/2017,7/29/2018
83201,HUEY,M,2016,Jack Russell Terrier,10037,9/21/2016,9/21/2021
139447,PRINCESS,F,2015,Miniature Schnauzer,10461,1/13/2017,1/9/2018
7756,EMMA,F,2007,Labrador Retriever,11238,3/30/2015,4/8/2017
147978,NONI,M,2008,Shih Tzu,11206,3/9/2017,3/3/2018
231360,ELLIE,F,2017,Samoyed,10009,7/4/2017,7/4/2018
217703,BLACKJACK,M,2014,Dachshund Crossbreed,11220,2/3/2017,2/3/2018
191411,COOLIE,M,2014,Maltese,11411,10/2/2017,10/2/2018
97881,DULCINEA,F,2015,Chihuahua,10040,12/16/2016,12/16/2017
235434,ROJAK,M,2017,Australian Shepherd,11205,8/7/2017,8/7/2019
15522,RUTHIE,F,2013,Boston Terrier,10019,6/23/2015,1/2/2016
34701,TEDDY,M,2011,Pomeranian,10305,1/26/2016,12/27/2016
137153,BENJII,M,2015,American Pit Bull Mix / Pit Bull Mix,10031,12/26/2016,12/26/2017
159698,SWEETIE,F,2013,Unknown,11372,5/12/2017,5/12/2019
6674,MAX,M,2007,"Bull Dog, English",11211,3/19/2015,3/19/2016
281339,BAMBO,M,2010,"Poodle, Standard",10305,6/29/2018,6/20/2019
198010,SIR,M,2007,Dachshund Smooth Coat Miniature,10023,11/7/2017,12/30/2018
85405,BOOTS,M,2009,"Collie, Border",10464,10/3/2016,11/16/2017
118143,CARMELO,M,2011,Shih Tzu,10024,6/9/2016,6/9/2018
155132,MIDNIGHT,M,2016,Maltese Crossbreed,10455,4/19/2017,4/19/2018
149793,HARLEY,F,2016,Labrador Retriever Crossbreed,11356,3/19/2017,3/19/2018
150122,MILO,M,2012,Shih Tzu,11105,3/21/2017,11/11/2017
11431,ONYX,M,2013,"Bull Dog, English",11201,5/8/2015,4/4/2017
94504,WILSON,M,2016,French Bulldog,11201,11/25/2016,11/25/2017
90885,PLUTO,M,2010,Unknown,11209,11/2/2016,9/16/2017
110801,LULU,F,2015,Labrador Retriever,11222,3/18/2016,3/18/2017
200119,COCO,F,2006,Scottish Terrier,10025,11/20/2017,11/29/2018
201437,COCO,F,2010,Jack Russell Terrier,11237,11/29/2017,1/10/2019
97865,MAX,M,2008,Boston Terrier,10024,12/16/2016,12/16/2017
136525,ONYX,M,2012,American Pit Bull Terrier/Pit Bull,11231,12/18/2016,12/26/2018
112549,NEVAEH,F,2005,Unknown,10023,4/7/2016,3/30/2017
22605,BOBBY,M,2012,Chihuahua,11377,9/14/2015,9/1/2016
215729,WRIGLEY,M,2013,Australian Shepherd,10128,1/5/2017,1/5/2018
180274,LOLA,F,2008,Maltese,11365,8/15/2017,7/14/2018
